betroffene_anlage,primaerenergieart,entry_type,name_technology,matched_id,id_source,method,confidence,needs_review,matched_name,fueltype,capacity_mw,lat,lon,coord_source,mastr_ids,opsd_ids,eic_ids,reasoning,coord_check,check_km
GDF Suez KW-Pool,Konventionell,individual,,,,llm,none,yes,,,,,,none,,,,Generic pool name without specific plant identification.,,
Scholven,Konventionell,individual,,269,index,llm,high,no,Scholven,Hard Coal,760.0,51.599970000000006,7.00565,index,"SEE933236950972,SEE989054024678,SEE952352206145","BNA0331,BNA0333,BNA0334,BNA0335,BNA0332,BNA0336","11WD7SCHO-S--KWW,{nan, nan, nan}",Direct name match to Scholven hard coal plant.,confirmed,4.6
"Markersbach, Schkopau",Konventionell,multi_plant,,"95,270",index,multi_plant,high,no,Psw Markersbach Pss + Schkopau,"Hydro,Lignite",1945.2,50.9606,12.4154,index,"SEE904052511746,SEE911219414864,SEE939026884250,SEE940802366570,SEE947677200282,SEE952165584195,SEE960652233358,SEE983006552202","BNA0652,BNA0878,BNA0879"," nan, nan},11WD8MARK1H----7,11WD8SCHK1L----O,{nan",multi-plant entry: 2/2 listed plants matched,,
"Lippendorf, Schkopau",Konventionell,multi_plant,,"313,270",index,multi_plant,high,no,Lippendorf + Schkopau,Lignite,2682.0,51.289,12.1638,index,"SEE947677200282,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 2/2 listed plants matched,,
Völklingen,Konventionell,individual,,165502,index,llm,high,no,Voelklingen Fenne Model,Hard Coal,233.0,49.2491,6.879,index,,"BNA0998,BNA0999",,Name matches Voelklingen Fenne Model hard coal plant located in Völklingen.,confirmed,9.4
Herne,Konventionell,individual,,317,index,exact,high,no,Herne,Hard Coal,435.0,51.549201,7.18396,index,SEE945908806647,"BNA0449,BNA0450,BNA0447",11WD7HERN2S--KWU,exact name match,confirmed,2.3
Walsum,Konventionell,individual,,320,index,exact,high,no,Walsum,Hard Coal,1095.0,51.5274965,6.7131585000000005,index,"SEE918143230942,SEE978389589440","BNA0216a,BNA0215,BNA0216b","11WD7WALS1S--KW0,{nan, nan}",exact name match,confirmed,2.4
VE-G KW Pool,Konventionell,individual,,,,llm,none,yes,,,,,,none,,,,Generic pool name without specific plant identification.,,
Heyden,Konventionell,individual,,316,index,exact,high,no,Heyden,Hard Coal,875.0,52.379,8.997,index,SEE937052769589,BNA0793,11WD2HEKW000297X,exact name match,disagree,43.5
"Boxberg, Goldisthal, Jänschwalde, Lippendorf, Markersbach, Schkopau",Konventionell,multi_plant,,"323,10,315,313,95,270",index,multi_plant,high,no,Boxberg + Psw Goldisthal Pss + Janschwalde + Lippendorf + Psw Markersbach Pss + Schkopau,"Hydro,Lignite",10249.2,51.1429,12.8724,index,"SEE901345486644,SEE904052511746,SEE907389779292,SEE908125004449,SEE911219414864,SEE923943268279,SEE938669585906,SEE939026884250,SEE940802366570,SEE943653719359,SEE945148512650,SEE947677200282,SEE952165584195,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE974189836364,SEE983006552202,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0350,BNA0652,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8MARK1H----7,11WD8SCHK1L----O,{nan",multi-plant entry: 6/6 listed plants matched,,
Grafenrheinfeld,Konventionell,individual,,,,llm,none,yes,,,,50.05,10.22,geocode,,,,No candidate corresponds to the Grafenrheinfeld nuclear plant.,,
SW München KW-Pool,Sonstiges,individual,,3230,index,llm,medium,no,Swm Sued Gud,Natural Gas,915.4,48.111831124999995,11.5523455,index,"SEE901789931854,SEE907223904750,SEE976219797843,SEE926128454535,SEE996720450723,SEE980327120226,SEE985585573104,SEE936770778460",,"11WD7LUDW5GSUEDE,11W0-0000-0414-O,11WD2SUE1000099L,11WD2SUE2000103B,{nan, nan, nan, nan, nan, nan, nan, nan}",Represents the main Stadtwerke München combined-cycle plant (Süd GuD) as the largest unit in the SWM pool.,confirmed,3.3
Erzhausen 3,Sonstiges,individual,,0,index,llm,high,no,Pumpspeicherkraftwerk Erzhausen,Hydro,200.0,51.898566,9.924887,index,SEE915985628661,BNA0558,11WD2ERZH0002682,Pumpspeicherkraftwerk Erzhausen is the only Erzhausen storage plant listed.,disagree,236.7
EES KW-Pool,Konventionell,individual,,,,llm,none,yes,,,,,,none,,,,Generic pool name without specific plant identification.,,
Erzhausen 2,Sonstiges,individual,,0,index,llm,high,no,Pumpspeicherkraftwerk Erzhausen,Hydro,200.0,51.898566,9.924887,index,SEE915985628661,BNA0558,11WD2ERZH0002682,"Matches Pumpspeicherkraftwerk Erzhausen, a hydro storage plant under TenneT.",disagree,236.7
Erzhausen 1,Sonstiges,individual,,0,index,llm,high,no,Pumpspeicherkraftwerk Erzhausen,Hydro,200.0,51.898566,9.924887,index,SEE915985628661,BNA0558,11WD2ERZH0002682,Pumpspeicherkraftwerk Erzhausen is the only Erzhausen storage plant listed.,disagree,236.7
Lünen,Konventionell,individual,,261,index,llm,high,no,Trianel Kohlekraftwerk Lunen,Hard Coal,746.0,51.612,7.464,index,SEE961029163353,"BNA0619,BNA0618,BNA1508",11WD7KWHU----KW9,Matches Trianel Kohlekraftwerk Lünen (KW Lünen) by name.,confirmed,4.8
GK-West,Konventionell,individual,,1149,index,llm,medium,yes,West,Hard Coal,277.0,52.4424555,10.762681,index,"SEE917432813484,SEE959000487536",BNA1076b,"{nan, nan}",GK-West likely refers to the Gemeinschaftskraftwerk West hard coal plant matching id=1149 West. | coord-check: name geocodes 230 km away,disagree,230.0
Emsland,Konventionell,individual,,1157,index,exact,high,no,Emsland,Natural Gas,1877.0,52.48027,7.305249999999999,index,"SEE921098709050,SEE911671792326,SEE994418588468,SEE979958390276,SEE925192446583,SEE951620659119,SEE929022761297,SEE933564106935,SEE985908351792","BNA0605,BNA0606,BNA0604,BNA0602,BNA0603","11WD7EMSL-G-KW-T,{nan, nan, nan, nan, nan, nan, nan, nan, nan}",exact name match,confirmed,5.1
"Jänschwalde, Lippendorf, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"315,313,270,268",index,multi_plant,high,no,Janschwalde + Lippendorf + Schkopau + Schwarze Pumpe,Lignite,7192.0,51.4863,13.2824,index,"SEE923943268279,SEE938337436349,SEE938669585906,SEE947677200282,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915"," nan, nan},11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 4/4 listed plants matched,,
"Goldisthal, Markersbach",Sonstiges,multi_plant,,"10,95",index,multi_plant,high,no,Psw Goldisthal Pss + Psw Markersbach Pss,Hydro,2097.2,50.515,11.945,index,"SEE901345486644,SEE904052511746,SEE911219414864,SEE939026884250,SEE940802366570,SEE943653719359,SEE945148512650,SEE952165584195,SEE974189836364,SEE983006552202","BNA0350,BNA0652"," nan, nan},11WD8GOLD1H----6,11WD8MARK1H----7,{nan",multi-plant entry: 2/2 listed plants matched,,
"Goldisthal, Markersbach, Schkopau",Konventionell,multi_plant,,"10,95,270",index,multi_plant,high,no,Psw Goldisthal Pss + Psw Markersbach Pss + Schkopau,"Hydro,Lignite",2997.2,50.8104,11.9469,index,"SEE901345486644,SEE904052511746,SEE911219414864,SEE939026884250,SEE940802366570,SEE943653719359,SEE945148512650,SEE947677200282,SEE952165584195,SEE960652233358,SEE974189836364,SEE983006552202","BNA0350,BNA0652,BNA0878,BNA0879"," nan, nan},11WD8GOLD1H----6,11WD8MARK1H----7,11WD8SCHK1L----O,{nan",multi-plant entry: 3/3 listed plants matched,,
"Boxberg, Jänschwalde, Lippendorf, Schkopau",Konventionell,multi_plant,,"323,315,313,270",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Schkopau,Lignite,8152.0,51.4568,13.3361,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 4/4 listed plants matched,,
Goldisthal,Sonstiges,individual,,10,index,llm,high,no,Psw Goldisthal Pss,Hydro,1052.0,50.51,11.01,index,"SEE974189836364,SEE943653719359,SEE901345486644,SEE945148512650",BNA0350,"11WD8GOLD1H----6,{nan, nan, nan, nan}",Direct name match to the Goldisthal pumped storage plant.,confirmed,19.8
"Boxberg, Lippendorf, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,313,270,268",index,multi_plant,high,no,Boxberg + Lippendorf + Schkopau + Schwarze Pumpe,Lignite,6662.0,51.3807,13.3099,index,"SEE907389779292,SEE908125004449,SEE938337436349,SEE947677200282,SEE952672318108,SEE960652233358,SEE966331411864,SEE968582186379,SEE985842749525,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 4/4 listed plants matched,,
Weiher,Konventionell,individual,,264,index,llm,high,no,Weiher,Hard Coal,655.6,49.333966,7.028434,index,SEE906326984744,BNA0820,11WD7WEIH2S--KWV,Exact name match to the Weiher hard coal plant.,disagree,394.2
"Jänschwalde, Lippendorf, Schkopau",Konventionell,multi_plant,,"315,313,270",index,multi_plant,high,no,Janschwalde + Lippendorf + Schkopau,Lignite,5682.0,51.4713,12.927,index,"SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879"," nan, nan},11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 3/3 listed plants matched,,
Hamm Uentrop,Konventionell,individual,,723,index,llm,high,no,Trianel Gaskraftwerk Hamm,Natural Gas,890.0,51.673559,7.9289665,index,"SEE900628853036,SEE987970110314","BNA0411,BNA0410","11WD7STUM----KW9,{nan, nan}",Matches Trianel Gaskraftwerk Hamm located in Hamm-Uentrop.,confirmed,6.7
"Lippendorf, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"313,270,268",index,multi_plant,high,no,Lippendorf + Schkopau + Schwarze Pumpe,Lignite,4192.0,51.3698,12.8921,index,"SEE938337436349,SEE947677200282,SEE952672318108,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879,BNA0914,BNA0915"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
Gersteinwerk,Konventionell,individual,,691,index,llm,medium,yes,Gersteinwerk,Natural Gas,1388.0,51.67324,7.710467,index,"SEE908672656115,SEE942237774470,SEE932787342328,SEE995899706617,SEE923304040681,SEE939426112649,SEE978654614532,SEE964242179781","BNA1045,BNA1039,BNA1043,BNA1041,BNA1044,BNA1040,BNA1046b,BNA1042","11WD7GERS-X-KW-C,{nan, nan, nan, nan, nan, nan, nan, nan}","Matches the larger natural gas Gersteinwerk unit, the primary plant identified by that name. | coord-check: name geocodes 44 km away",disagree,44.1
Ingolstadt 3,Konventionell,individual,,8622,index,exact,high,no,Ingolstadt,Oil,720.0,48.761882,11.50246,index,"SEE950675787617,SEE983645175053","BNA0378,BNA0379","{nan, nan}",exact name match,confirmed,6.3
"Boxberg, Jänschwalde, Lippendorf, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,313,268",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Schwarze Pumpe,Lignite,8762.0,51.4894,13.9355,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE952672318108,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SWPU1L----5,{nan",multi-plant entry: 4/4 listed plants matched,,
Ibbenbüren,Konventionell,individual,,1077,index,exact,high,no,Ibbenburen,Hard Coal,794.0,52.285881,7.750047,index,SEE970816213751,"BNA0493,BNA0492",,exact name match,confirmed,4.0
"Boxberg, Jänschwalde",Konventionell,multi_plant,,"323,315",index,multi_plant,high,no,Boxberg + Janschwalde,Lignite,5470.0,51.6247,14.5083,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE964729462818,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418","BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,{nan",multi-plant entry: 2/2 listed plants matched,,
"Boxberg, Jänschwalde, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,268",index,multi_plant,high,no,Boxberg + Janschwalde + Schwarze Pumpe,Lignite,6980.0,51.5936,14.4551,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE952672318108,SEE964729462818,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418","BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
"Boxberg, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,270,268",index,multi_plant,high,no,Boxberg + Schkopau + Schwarze Pumpe,Lignite,4880.0,51.4486,13.6209,index,"SEE907389779292,SEE908125004449,SEE938337436349,SEE947677200282,SEE952672318108,SEE960652233358,SEE968582186379,SEE985842749525","BNA0122,BNA0123,BNA0124,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
Neurath,Konventionell,individual,,272,index,exact,high,no,Neurath,Lignite,4211.0,51.037649,6.612286,index,"SEE993592183001,SEE979012663285,SEE978971638464,SEE976414005279,SEE931736847297,SEE925599434282,SEE907150117643","BNA0697,BNA0696,BNA0699,BNA0700,BNA0698,BNA1401a,BNA1401b","11WD7NEUR-B-KW-B,{nan, nan, nan, nan, nan, nan, nan}",exact name match,confirmed,4.6
"Boxberg, Goldisthal, Jänschwalde, Lippendorf, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,10,315,313,270,268",index,multi_plant,high,no,Boxberg + Psw Goldisthal Pss + Janschwalde + Lippendorf + Schkopau + Schwarze Pumpe,"Hydro,Lignite",10714.0,51.3115,13.1172,index,"SEE901345486644,SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE943653719359,SEE945148512650,SEE947677200282,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE974189836364,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0350,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 6/6 listed plants matched,,
"Boxberg, Jänschwalde, Lippendorf, Markersbach, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,313,95,270,268",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Psw Markersbach Pss + Schkopau + Schwarze Pumpe,"Hydro,Lignite",10707.2,51.3131,13.4288,index,"SEE904052511746,SEE907389779292,SEE908125004449,SEE911219414864,SEE923943268279,SEE938337436349,SEE938669585906,SEE939026884250,SEE940802366570,SEE947677200282,SEE952165584195,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE983006552202,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0652,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8MARK1H----7,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 6/6 listed plants matched,,
"Boxberg, Lippendorf, Schkopau",Konventionell,multi_plant,,"323,313,270",index,multi_plant,high,no,Boxberg + Lippendorf + Schkopau,Lignite,5152.0,51.3305,12.9636,index,"SEE907389779292,SEE908125004449,SEE947677200282,SEE960652233358,SEE966331411864,SEE968582186379,SEE985842749525,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 3/3 listed plants matched,,
Gundremmingen,Konventionell,individual,,,,llm,none,yes,,,,48.42,10.38,geocode,,,,No candidate corresponds to the Gundremmingen plant among the listed conventional plants.,,
Schluchseewerk AG,Sonstiges,individual,,110,index,llm,medium,yes,Wehr Ms,Hydro,910.0,47.652259,7.925798,index,"SEE931018364146,SEE945727561772,SEE929967552172,SEE954610139165",BNA1019,"{nan, nan, nan, nan}","Schluchseewerk AG operates the Wehr pumped-storage plant, matching the hydro storage candidate. | coord-check: name geocodes 35 km away",disagree,35.5
Heizkraftwerk Heilbronn,Konventionell,individual,,318,index,exact,high,no,Heilbronn,Hard Coal,1028.0,49.17505666666667,9.207873333333334,index,"SEE968847258773,SEE948609940009,SEE935086224739","BNA0434,BNA0432,BNA0433","11WD4HLBR1CS---A,{nan, nan, nan}",exact name match,confirmed,4.7
Voerde,Konventionell,individual,,1281,index,llm,high,no,Voerde,Hard Coal,2234.0,51.578182,6.683641,index,,"BNA0991,BNA0992,BNA0989,BNA0990","{nan, nan, nan, nan}",Direct name match to the Voerde hard coal plant.,confirmed,10.4
Bergkamen,Konventionell,individual,,274,index,llm,high,no,Bergkamen,Hard Coal,720.0,51.636945,7.619083,index,SEE930673793902,BNA0067,11WD7BERG1S--KWB,Direct name match to the Bergkamen hard coal plant.,confirmed,3.3
Erzhausen 4,Sonstiges,individual,,0,index,llm,high,no,Pumpspeicherkraftwerk Erzhausen,Hydro,200.0,51.898566,9.924887,index,SEE915985628661,BNA0558,11WD2ERZH0002682,Pumpspeicherkraftwerk Erzhausen is the only Erzhausen storage plant listed.,disagree,236.7
"Boxberg, Jänschwalde, Lippendorf, Rostock, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,313,270,268",index,multi_plant,medium,yes,Boxberg + Janschwalde + Lippendorf + Schkopau + Schwarze Pumpe,Lignite,9662.0,51.4717,13.5386,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE947677200282,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 5/6 listed plants matched,,
Isar 2,Konventionell,individual,,3296,index,exact,high,no,Isar 2 Kki 2,Nuclear,1410.0,48.6056,12.29315,index,SEE943690268513,BNA0263,,exact name match,confirmed,18.4
"Boxberg, Schwarze Pumpe",Konventionell,multi_plant,,"323,268",index,multi_plant,high,no,Boxberg + Schwarze Pumpe,Lignite,3980.0,51.4723,14.456,index,"SEE907389779292,SEE908125004449,SEE938337436349,SEE952672318108,SEE968582186379,SEE985842749525","BNA0122,BNA0123,BNA0124,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8SWPU1L----5,{nan",multi-plant entry: 2/2 listed plants matched,,
"Boxberg, Goldisthal, Schwarze Pumpe",Konventionell,multi_plant,,"323,10,268",index,multi_plant,high,no,Boxberg + Psw Goldisthal Pss + Schwarze Pumpe,"Hydro,Lignite",5032.0,51.1516,13.3073,index,"SEE901345486644,SEE907389779292,SEE908125004449,SEE938337436349,SEE943653719359,SEE945148512650,SEE952672318108,SEE968582186379,SEE974189836364,SEE985842749525","BNA0122,BNA0123,BNA0124,BNA0350,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8GOLD1H----6,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
